,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"India																",1456.2,1447.45,1461.38,1345.72,1090.36,991.52,1018.13,816.73,729,640.6
"Indonesia																",3631.67,3700.52,3647.63,3125.22,2262.72,2167.86,1860.62,1590.18,1263.48,1150.35
"Iran												",6631.3,7710.51,7874.48,6299.92,5437.82,5476.16,4705.39,3646.84,3135.19,2649.91
"Iraq																",6879.7,6614.58,5828.76,4487.37,3725.68,4512.99,3125.58,2350.19,1848.97,1391.61
"Ireland																",52034.77,49231.36,52564.26,48541.48,51983.79,61235.4,61388.17,54326.1,50886.83,47631.06
"Israel																",36393.67,32569.6,33657.16,30661.99,27795.88,29657.44,25008.6,21905.02,20611.18,19888.17
"Italy																",35370.27,34814.12,38332.3,35851.51,36976.85,40640.18,37698.79,33410.75,31959.26,31174.56
"Ivory Coast						",1445.91,1281.38,1231.87,1236.09,1233.3,1257.68,1078.54,962.92,942.22,929.89
"Jamaica																",5259.04,5466.58,5348.64,4902.67,4489.84,5119.34,4816.6,4487.5,4238.32,3853.61
"Japan																",40488.24,48629.2,48173.93,44507.66,40855.18,39339.3,35275.23,35433.99,37217.65,37688.72
"Jordan																",4656.22,4423.12,4266.08,4054.27,3800.68,3655.86,2970.89,2722.67,2360.53,2205.8
"Kazakhstan																",13890.86,12387.19,11634.42,9070.65,7165.28,8513.56,6771.41,5291.58,3771.28,2874.29
"Kenya																",1261.09,1184.92,1012.88,991.85,942.74,938.57,857.93,711.72,530.08,467.38
"Kiribati																",1724.22,1763.7,1692.52,1493.22,1297.31,1413.35,1357.65,1151.59,1214.5,1130.57
"Kuwait																",48463.15,50903.9,47551.38,37725.14,36754.95,54484.3,45159.34,42498.74,35694.38,27437.98
"Kyrgyzstan																",1282.44,1177.97,1123.88,880.04,871.22,966.39,721.77,543.11,476.55,433.24
"Lao People's Democratic Republic																",1700.53,1445.42,1297.54,1138.53,947.96,900.5,710.98,591.36,476.16,418.17
"Latvia																",15033.15,13799.24,13798.21,11329.9,12219.37,16348.53,14044.02,9667.98,7558.74,6351.08
"Lebanon																",8388.97,8773.93,8728.57,8763.8,8403.11,7015.61,6015.8,5372.48,5339.42,5424.22
"Liberia																",453.34,414.19,378.81,326.6,302.28,231.44,209.81,178.45,168.21,149.06
"Lithuania																",15692.01,14342.52,14367.21,11988.76,11837.39,14961.57,12297.92,9240.64,7863.16,6706.97
"Luxembourg																",113726.64,105447.09,113239.56,103267.28,101221.81,112851.46,104841.44,88680.24,79494.21,74970.92
"Madagascar																",462.46,444.96,456.33,414.14,417.18,472.38,379.07,292.99,275.52,245.67
"Malawi																",335.52,380.92,524.31,471.06,432.36,382.69,328.3,304.9,286.79,280.18
"Malaysia																",10971.42,10834.66,10427.76,9069.03,7312.01,8486.6,7240.68,6194.67,5564.17,4924.59
"Maldives																",7112.34,6541.07,6497.55,6330.79,5970.16,5828.62,5002.86,4428.52,3488.49,3853.33
"Mali																",772.25,772.25,829.85,704.06,692.84,685.55,592.02,518.39,484.81,436.44
"Malta																",24056.61,22081.6,22957.41,21087.79,20675.58,21928.7,19375.57,16671.57,15835.35,15109.05
"Marshall Islands																",3618.23,3513.96,3286.48,3142.43,2917.21,2927.96,2893.42,2758.38,2645.98,2517.69
"Mauritania																",1457.84,1385,1402.67,1207.83,1045.79,1180.55,1008.55,937.98,692.58,598.21
"Mauritius																",9637,9291.23,9197.03,8000.38,7318.13,8030.06,6574.65,5695.97,5116.05,5229.88
"Mexico																",10198.65,9720.56,9730.28,8861.49,7661.21,9578.57,9222.88,8666.34,7893.96,7115.12
"Micronesia (Federated States of)																",3044.08,3147.68,2998.64,2838.45,2669.38,2501.53,2435.2,2393.94,2352.64,2247.84
"Moldova																",2243.98,2046.54,1970.57,1631.54,1525.53,1695.97,1230.43,950.65,831.21,720.94
"Mongolia																",4400.61,4377.24,3772.93,2650.35,1717.07,2138.38,1633.38,1334.41,998.82,797.91
"Morocco																",3141.73,2931.4,3066.5,2857.67,2883.85,2905.95,2510.98,2204.26,2023.25,1955.14
"Mozambique																",605.23,564.81,524.89,417.5,461.43,499.89,418.91,382.38,365.6,332.88
"Myanmar																",1134.93,1136.79,1150.64,957.62,718.44,624.39,398.09,288,239.81,213.13
"Namibia																",5417.8,5679.88,5539.62,5143.13,4123.94,4011.3,4195.94,3884.65,3582.26,3298.9
"Nepal																",696.73,698.41,693.55,595.43,483.4,476.56,396.17,350.61,318.75,288.67
"Netherlands																",51574.49,49474.71,53537.28,50341.25,51900.34,56928.82,51241.32,44453.97,41577.16,39954.64
"New Zealand																",42928.1,40066.56,38426.7,33692.17,28200.94,31287.61,32509.73,26670.86,27750.9,25420.23
"Nicaragua																",1829.02,1776.21,1679.75,1523.48,1478.97,1517.8,1350.59,1245.14,1175.12,1091.51
"Niger																",417.67,393.64,378.2,351.01,344.38,358.19,295.39,260.56,252.5,234.91
"Nigeria																",2979.84,2739.85,2514.15,2314.96,1091.97,1376.86,1131.15,1014.73,804.01,645.76
"Norway																",102910.44,101563.7,100575.12,87646.27,80017.78,96880.51,85128.66,74114.7,66775.39,57570.27
"Oman																",20204.93,21631.89,21164.34,19920.65,17518.83,22963.38,16225.66,14575.16,12398.59,10115.04
"Pakistan																",1276.09,1264.9,1229.85,1043.3,1009.8,1042.8,953.8,876.95,714.04,652.02
"Palau																",10932.64,10319.91,9701.06,8978.99,9162.41,9793.84,9742.52,9729.16,9710.15,8851.3
"Panama																",11786.63,10672.36,9335.69,7987.06,7471.34,7008.99,6095.28,5369.58,4933.08,4604.47
"Papua New Guinea																",2108.83,2151.21,1838.7,1418.92,1210.87,1223.2,992.67,886.42,799.42,661.13
"Paraguay																",4479.96,3855.57,3988.02,3225.59,2599.59,3059.99,2312.19,1809.71,1507.15,1408.53
"Peru																",6580.98,6386.37,5770.33,5021.25,4166.09,4208.87,3611.2,3171.5,2754.78,2448.14
"Philippines																",2786.01,2604.66,2371.85,2145.24,1836.87,1929.13,1678.85,1395.21,1196.54,1080.09
"Poland																",13780.55,13145.1,13893.41,12599.52,11527.59,14001.45,11260.32,9040.77,8021.25,6681.18
"Portugal																",21618.74,20577.4,23194.74,22540,23063.97,24815.61,22780.06,19821.44,18784.95,18045.59
"Qatar																",94574.26,92692.64,88050.81,70870.23,61463.9,82990.07,67612.49,61593.67,53207.33,43346.86
"Romania																",9585.27,8558.4,9200.28,8297.48,8220.11,10136.47,8214.19,5828.75,4676.32,3552.92
"Russian Federation																",15552.05,15042.19,14227.72,10674.99,8562.81,11635.26,9101.25,6920.19,5323.47,4102.37
"Rwanda																",679,667.41,606.9,553.6,529.6,491.94,398.21,336.94,286.57,236.63
"Saint Kitts and Nevis																",14514.72,13689.89,14212.35,13466.83,13983.97,14462.7,13355.96,12767.9,11053.74,10349.23
"Saint Lucia																",7229.93,7180.14,7143.23,7000.64,6740.74,6872.48,6761.99,6410.2,5723.34,5449.33
"Saint Vincent and the Grenadines																",6596.79,6337.77,6183.68,6231.71,6177.5,6370.44,6220.35,5608.2,5064.22,4808.04
"Samoa																",4179.6,4257.31,4065.96,3530.57,3165.71,3375.82,3130.35,2793.54,2587.52,2350.86
"Sao Tome and Principe																",1660.9,1415.03,1335.35,1155.51,1123.36,1149.31,911.06,858.59,824.01,703.66
"Saudi Arabia																",24646.02,24883.19,23256.1,18753.98,15655.08,19436.86,15947.41,14826.92,13273.65,10756.02
"Senegal																",1041.17,1030.04,1074.49,996.71,1015.11,1093.72,948.51,808.29,772.65,732.32
"Seychelles																",15695.9,12845.17,12189.1,10804.68,9706.96,11122.86,12154.83,12014.4,11086.89,10173.57
"Sierra Leone																",796.32,629.12,497.98,453.02,440.92,453.74,400.38,359.53,321,293.85
"Singapore																",55617.61,54451.21,53093.67,46569.68,38577.56,39721.05,39223.58,33579.86,29869.85,27405.27
"Slovakia																",18191.61,17274.64,18186.03,16601.6,16512.98,18650.36,16057.73,13139.03,11669.42,10654.79
"Slovenia																",23150.32,22486.47,24983.69,23438.87,24633.8,27501.81,23841.32,19726.13,18169.18,17260.9
"Solomon Islands																",1890,1866.71,1648.85,1276.35,1161.23,1208.35,1048.77,950.05,881.96,819.31
"South Africa																",6910.67,7570.09,8077.97,7392.87,5916.25,5817.28,6161.22,5668.39,5453.19,4901.12
South Korea,25997.88,24453.97,24155.83,22151.21,18338.71,20474.89,23101.51,20917.03,18657.52,15921.94
"Spain																",29370.66,28647.84,31832.24,30737.83,32333.47,35578.74,32709.4,28482.61,26510.72,24918.65
"Sri Lanka																",3611.34,3350.69,3221.15,2819.65,2106.79,2054.49,1644.82,1448.76,1259.81,1074.66
"Sudan																",1871.11,1806.45,1596.45,1421.53,1183.21,1248.36,1081.16,868.32,661.63,550.75
"Suriname																",9618.35,9422.27,8448.5,8430.91,7561.45,6973.1,5862.05,5295.62,3645.85,3033.02
"Swaziland																",3686.88,3952.66,4090.86,3793.66,3046.63,2808.75,2962.89,2843.87,2812.59,2522.86
"Sweden																",60283.25,57134.08,59593.68,52076.43,46207.06,55746.84,53324.38,46256.47,43085.35,42442.22
"Switzerland																",84658.89,83164.39,88002.61,74277.12,69672,72119.56,63223.47,57348.93,54797.55,53255.98
"Tajikistan																",1048.67,962.44,841.22,744.18,671.55,711.51,523.95,407.25,339.76,311.42
"Tanzania																",909.33,827.53,740.38,708.52,665.34,657.73,533.17,475.91,446.16,348.05
"Thailand																",6225.05,5915.22,5539.49,5111.91,4231.14,4384.78,3962.75,3351.12,2874.39,2643.48
"The former Yugoslav republic of Macedonia																",5219.54,4709.51,5079.96,4561.18,4566.34,4821.54,4063.75,3351.3,3063.6,2787.77
"Timor-Leste																",1111.8,1125.37,1024.64,884.28,788.85,673.37,551.72,464.84,501.43,484.09
"Togo																",588.99,573.21,572.03,496.48,508.54,522.63,428.4,384.29,379.18,356.83
"Tonga																",4274.23,4509.36,4052.19,3554.08,3076.43,3398.88,2937.71,2897.71,2599.46,2288.41
"Trinidad and Tobago																",19607.95,19152.18,19053.94,16684.01,14508.81,21188.12,16530.18,14096,12323.14,10290.52
"Tunisia																",4248.89,4179.46,4291.88,4176.59,4162.51,4342.82,3805.15,3394.43,3217.97,3139.54
"Turkey																",10800.54,10539.37,10538.72,10111.19,8624.17,10382.15,9309.29,7727.27,7117.23,5855.54
"Turkmenistan																",7480.32,6797.72,5724.54,4479.01,4059.96,3918.93,2606.74,2140.46,1706.96,1455.94
"Uganda																",683.34,664.01,597.52,608.95,566.33,459.11,409.87,342.84,321.44,292.84
"Ukraine																",4029.72,3855.42,3569.76,2965.14,2545.48,3891.04,3068.61,2303.02,1828.72,1367.35
"United Arab Emirates																",42986.66,41712.4,39901.22,34341.91,32905.05,45720.02,42913.78,42950.1,40298.52,37179.68
"United Kingdom													",42407.37,41538.31,41243.12,38708.68,38010.1,46523.27,49949.15,44016.73,41524.07,39824.76
"United States of America																",52749.91,51433.05,49781.8,48374.09,47001.56,48401.43,48061.54,46437.07,44307.92,41921.81
"Uruguay																",16881.38,15092.47,14166.56,11938.28,9415.15,9062.29,7009.68,5877.88,5220.96,4117.31
"Uzbekistan																",1907.55,1740.47,1564.97,1377.08,1213.27,1082.29,830.41,654.28,546.78,465.12
"Vanuatu																",3167.06,3158.42,3275.02,2965.75,2643.48,2698.02,2393.33,2047.09,1886.39,1787.94
"Venezuela (Bolivarian Republic of)																",12265.03,12771.6,10754.59,13581.35,11534.84,11224.65,8325.21,6740.24,5435.74,4273.44
"Vietnam																",1907.56,1754.55,1542.67,1333.58,1232.37,1164.61,919.21,796.67,699.5,606.9
"Yemen																",1582.85,1422.72,1350.38,1310.05,1094.8,1205.54,997.95,904.61,817.08,696.05
"Zambia																",1839.52,1724.76,1635.59,1456.13,1134.77,1365.72,1103.49,1030.32,691.81,530.55
"Zimbabwe																",905.5,850.83,768.56,674.27,594.5,327.2,397.96,414.68,443.24,451.17
